Commit SHA,Java File,Old function signature,New function signature
717a8f10865223ccb0a7168ccfde1d43d541cd5b,"guava/src/com/google/common/collect/Maps.java","Collector<T,?,ImmutableMap<K,V>>:toImmutableEnumMap:Function<? super T,? extends K>,Function<? super T,? extends V>","Collector<T,?,ImmutableMap<K,V>>:toImmutableEnumMap:java.util.function.Function<? super T,? extends K>,java.util.function.Function<? super T,? extends V>,BinaryOperator<V>"
503d6949e44f31c6cd9de77c8385947add8e20b9,"guava/src/com/google/common/collect/ImmutableTable.java","Collector<T,?,ImmutableTable<R,C,V>>:toImmutableTable:Function<? super T,? extends R>,Function<? super T,? extends C>,Function<? super T,? extends V>","Collector<T,?,ImmutableTable<R,C,V>>:toImmutableTable:Function<? super T,? extends R>,Function<? super T,? extends C>,Function<? super T,? extends V>,BinaryOperator<V>"
dbf37a8b12159763f7721ea79644de9080d53e99,"guava/src/com/google/common/collect/TreeRangeSet.java","TreeRangeSet<C>:create:","TreeRangeSet<C>:create:Iterable<Range<C>>"
cfe05dfda3ba79aa1bd3acce6b4e766eb7b9bc00,"guava/src/com/google/common/graph/AbstractGraph.java","String:toString:","String:toString:Graph<?>"
fd3c30f0efd09435c010f5fab52495554242ab52,"guava/src/com/google/common/util/concurrent/AbstractFuture.java","void:complete:","void:complete:AbstractFuture<?>"
fd3c30f0efd09435c010f5fab52495554242ab52,"guava/src/com/google/common/util/concurrent/AbstractFuture.java","Listener:clearListeners:","Listener:clearListeners:Listener"
57ec8ce480d75c69f90f72e4faaf13dda25a7f67,"guava/src/com/google/common/graph/DirectedGraphConnections.java","void:addPredecessor:N","void:addPredecessor:N,V"
57ec8ce480d75c69f90f72e4faaf13dda25a7f67,"guava/src/com/google/common/graph/GraphConnections.java","void:addPredecessor:N","void:addPredecessor:N,V"
57ec8ce480d75c69f90f72e4faaf13dda25a7f67,"guava/src/com/google/common/graph/UndirectedGraphConnections.java","void:addPredecessor:N","void:addPredecessor:N,V"
3a26a954c12ce3ba0540f93f7be62fc011304748,"guava/src/com/google/common/graph/GraphProperties.java","boolean:isSubgraphCyclic:Graph<?>,Map<Object,NodeVisitState>,Object","boolean:isSubgraphCyclic:Graph<?>,Map<Object,NodeState>,Object,Object"
5803c43d7e79b969b12fb61ed423dbb07fddfc6c,"guava/src/com/google/common/collect/MapMakerInternalMap.java","void:setValue:ReferenceEntry<K,V>,V","void:setValue:S,E,V"
5803c43d7e79b969b12fb61ed423dbb07fddfc6c,"guava/src/com/google/common/collect/MapMakerInternalMap.java","void:drainKeyReferenceQueue:","void:drainKeyReferenceQueue:ReferenceQueue<K>"
5803c43d7e79b969b12fb61ed423dbb07fddfc6c,"guava/src/com/google/common/collect/MapMakerInternalMap.java","void:drainValueReferenceQueue:","void:drainValueReferenceQueue:ReferenceQueue<V>"
7850a145998c2dd7c01f256d85f967bab0ca3294,"guava/src/com/google/common/collect/ConcurrentHashMultiset.java","ConcurrentHashMultiset<E>:create:","ConcurrentHashMultiset<E>:create:ConcurrentMap<E,AtomicInteger>"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/AbstractDirectedNodeConnections.java","N:removeInEdge:Object","N:removeInEdge:Object,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/AbstractDirectedNodeConnections.java","boolean:addInEdge:E,N","boolean:addInEdge:E,N,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/AbstractUndirectedNodeConnections.java","N:removeInEdge:Object","N:removeInEdge:Object,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/AbstractUndirectedNodeConnections.java","boolean:addInEdge:E,N","boolean:addInEdge:E,N,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/DirectedMultiNodeConnections.java","DirectedMultiNodeConnections<N,E>:ofImmutable:Map<E,N>,Map<E,N>","DirectedMultiNodeConnections<N,E>:ofImmutable:Map<E,N>,Map<E,N>,int"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/DirectedMultiNodeConnections.java","N:removeInEdge:Object","N:removeInEdge:Object,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/DirectedMultiNodeConnections.java","boolean:addInEdge:E,N","boolean:addInEdge:E,N,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/DirectedNodeConnections.java","DirectedNodeConnections<N,E>:ofImmutable:Map<E,N>,Map<E,N>","DirectedNodeConnections<N,E>:ofImmutable:Map<E,N>,Map<E,N>,int"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/NodeConnections.java","N:removeInEdge:Object","N:removeInEdge:Object,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/NodeConnections.java","boolean:addInEdge:E,N","boolean:addInEdge:E,N,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/UndirectedMultiNodeConnections.java","N:removeInEdge:Object","N:removeInEdge:Object,boolean"
9d2a5e9beaf310d81134e3629e5ffec1854f420c,"guava/src/com/google/common/graph/UndirectedMultiNodeConnections.java","boolean:addInEdge:E,N","boolean:addInEdge:E,N,boolean"
acd1d3d410bb822e43990638c822f79854e9cde4,"guava/src/com/google/common/graph/Graphs.java","MutableGraph<N>:copyOfInternal:Graph<N>,Predicate<? super N>","MutableGraph<N>:copyOfInternal:Graph<N>,GraphBuilder<N>,Predicate<? super N>"
acd1d3d410bb822e43990638c822f79854e9cde4,"guava/src/com/google/common/graph/Graphs.java","MutableNetwork<N,E>:copyOfInternal:Network<N,E>,Predicate<? super N>,Predicate<? super E>","MutableNetwork<N,E>:copyOfInternal:Network<N,E>,NetworkBuilder<N,E>,Predicate<? super N>,Predicate<? super E>"
52a6955f2a3f7d5e62bcb9561e5fc563b6e7fafb,"guava/src/com/google/common/util/concurrent/MoreExecutors.java","T:invokeAnyImpl:ListeningExecutorService,Collection<? extends Callable<T>>,boolean,long","T:invokeAnyImpl:ListeningExecutorService,Collection<? extends Callable<T>>,boolean,long,TimeUnit"
dd6b0e8b0f143d357784ddb4c16223a3ac125113,"guava/src/com/google/common/graph/DirectedNodeAdjacencies.java","DirectedNodeAdjacencies<N>:ofImmutable:Set<N>,Set<N>","DirectedNodeAdjacencies<N>:ofImmutable:Map<N,Adjacency>,int,int"
c1c5dae45283129c67eb7d5d2b5b90eff4c92c4c,"guava/src/com/google/common/graph/ConfigurableGraph.java","boolean:removeEdge:Object","boolean:removeEdge:Object,Object"
c1c5dae45283129c67eb7d5d2b5b90eff4c92c4c,"guava/src/com/google/common/graph/Graphs.java","void:mergeNodesFrom:Graph<N,E>,Graph<N,E>","void:mergeNodesFrom:Graph<N>,MutableGraph<N>,Predicate<? super N>"
c1c5dae45283129c67eb7d5d2b5b90eff4c92c4c,"guava/src/com/google/common/graph/Graphs.java","void:mergeNodesFrom:Graph<N,E>,Graph<N,E>","void:mergeNodesFrom:Graph<N>,MutableNetwork<N,?>,Predicate<? super N>"
c1c5dae45283129c67eb7d5d2b5b90eff4c92c4c,"guava/src/com/google/common/graph/Graphs.java","void:mergeEdgesFrom:Graph<N,E>,Graph<N,E>","void:mergeEdgesFrom:Network<N,E>,MutableNetwork<N,E>,Predicate<? super E>"
807760488eaaab1ced435ec07dab6be7e991fc47,"guava-tests/test/com/google/common/graph/GraphEqualsTest.java","Graph<Integer,String>:createGraph:","Graph<Integer,String>:createGraph:GraphType"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,char"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,int"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,long"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,char,char"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,char,int"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,char,long"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,char,Object"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,int,char"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,int,int"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,int,long"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,int,Object"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,long,char"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,long,int"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,long,long"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,long,Object"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,Object,char"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,Object,int"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,Object,long"
892e323fca32945cdfb25395ca6e346dd0fffa5b,"guava/src/com/google/common/base/Preconditions.java","void:checkArgument:boolean","void:checkArgument:boolean,String,Object,Object"
